AcademicYear,GPA,Interest_AcademicWorkshop,Interest_CareerDev,Interest_SocialActivities,Interest_Sports,Interest_CulturalPrograms,Interest_TechMeetups,ParticipatedBefore,EventTypesAttended,EventAttendanceFrequency,Hypo_TechWorkshop,Hypo_ResumeWorkshop,Hypo_CulturalNight,Hypo_SportsTournament,Hypo_SocialCampaign,Personality,Motivation,FreeDays,PreferredTime,InterestTopics,SkillsToDevelop,Feedback,Recommended Event
22/23,3.21,3.0,1.0,4.0,2.0,2.0,3.0,No,"Social Service Activities, None",Rarely,3.0,2.0,3.0,1.0,4.0,"Curious and eager to learn, Outgoing, Team-oriented",Career Development,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",Add food/drink events.,Social Engaging
20/21,2.62,5.0,1.0,3.0,4.0,2.0,3.0,No,"Social Service Activities, None",Rarely,4.0,2.0,3.0,5.0,4.0,"Curious and eager to learn, Outgoing, Team-oriented",Career Development,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",Should include 5 points scale.,Hackathon
20/21,2.62,5.0,5.0,3.0,2.0,2.0,3.0,No,"Social Service Activities, None",Rarely,3.0,2.0,3.0,1.0,4.0,"Curious and eager to learn, Outgoing, Team-oriented",Career Development,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",Simple layout.,Career Development
20/21,3.93,2.0,3.0,4.0,2.0,4.0,1.0,Yes,"None, Social Service Activities, Tech Meetups",Sometimes,3.0,1.0,2.0,4.0,5.0,"Outgoing, Team-oriented, Logical thinker","Meeting New People, Learning New Skills",Any day,Night (After 8pm),"Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science, Environmental & Social Impact","Public Speaking, Communication",No suggestion,Social Engaging
20/21,2.3,5.0,5.0,5.0,5.0,3.0,2.0,Yes,"Cultural Events, None",Sometimes,4.0,5.0,1.0,4.0,1.0,"Logical thinker, Creative, Curious and eager to learn",Relaxation/Stress Relief,Weekends,Evening (4pm-8pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Designing / Creativity, Public Speaking / Soft Skill","Public Speaking, Creativity, Leadership, Soft Skills",No suggestion,Career Development
20/21,2.3,2.0,5.0,3.0,3.0,3.0,3.0,Yes,"Cultural Events, None",Sometimes,4.0,4.0,1.0,3.0,1.0,"Logical thinker, Creative, Curious and eager to learn",Relaxation/Stress Relief,Weekends,Evening (4pm-8pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Designing / Creativity, Public Speaking / Soft Skill","Public Speaking, Creativity, Leadership, Soft Skills",Could include volunteering.,Career Development
21/22,3.84,1.0,2.0,5.0,5.0,3.0,3.0,Yes,Tech Meetups,Never,3.0,3.0,4.0,5.0,4.0,"Logical thinker, Outgoing, Creative","Career Development, Fun and Entertainment",Weekends,Morning (8am-12pm),"Business / Entrepreneurship, Public Speaking / Soft Skill","Public Speaking, Leadership, Communication, Creativity",Compact form.,Social Engaging
21/22,2.1,5.0,2.0,4.0,4.0,1.0,5.0,Yes,"Tech Meetups, Academic Workshops",Sometimes,4.0,2.0,1.0,4.0,3.0,"Curious and eager to learn, Logical thinker","Learning New Skills, Relaxation/Stress Relief, Fun and Entertainment",Weekdays,Night (After 8pm),"Health and Wellbeing, Environmental & Social Impact","Public Speaking, Soft Skills",More career options.,Hackathon
21/22,2.1,4.0,3.0,2.0,3.0,1.0,5.0,Yes,"Tech Meetups, Academic Workshops",Sometimes,5.0,1.0,1.0,2.0,2.0,"Curious and eager to learn, Logical thinker","Learning New Skills, Relaxation/Stress Relief, Fun and Entertainment",Weekdays,Night (After 8pm),"Health and Wellbeing, Environmental & Social Impact","Public Speaking, Soft Skills",Covers key points.,Tech Workshop
21/22,2.79,5.0,5.0,3.0,3.0,3.0,5.0,Yes,"Career Development, None, Sports",Rarely,5.0,5.0,3.0,3.0,3.0,Creative,"Relaxation/Stress Relief, Meeting New People",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Business / Entrepreneurship, Web/App Development","Communication, Leadership, Public Speaking, Creativity",Nothing unnecessary.,Career Development
21/22,3.8,5.0,3.0,3.0,3.0,3.0,5.0,No,"None, Academic Workshops, Social Service Activities",Always,5.0,4.0,2.0,3.0,3.0,"Logical thinker, Team-oriented, Outgoing",Fun and Entertainment,Any day,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Designing / Creativity, Environmental & Social Impact","AI, Creativity",Add group projects,Tech Workshop
22/23,2.23,3.0,4.0,5.0,4.0,4.0,3.0,Yes,"Career Development, Sports, Cultural Events",Sometimes,3.0,4.0,4.0,4.0,5.0,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",Add mental health activities.,Social Engaging
20/21,3.31,5.0,4.0,2.0,4.0,2.0,4.0,Yes,"Academic Workshops,Tech Meetups,Sports",Sometimes,4.0,3.0,2.0,1.0,3.0,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Need open suggestions box.,Hackathon
20/21,2.35,3.0,2.0,5.0,3.0,4.0,3.0,Yes,"Social Service Activities, None",Rarely,3.0,2.0,4.0,1.0,5.0,"Curious and eager to learn, Outgoing, Team-oriented",Fun Entertainment,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",Properly arranged.,Social Engaging
20/21,2.35,4.0,3.0,3.0,3.0,2.0,5.0,Yes,Tech Meetups,Rarely,5.0,4.0,3.0,1.0,3.0,"Curious and eager to learn, Outgoing, Team-oriented",Meeting New People,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",Logical questions.,Tech Meetups
22/23,3.48,4.0,5.0,3.0,4.0,3.0,4.0,Yes,"Career Development, Tech Meetups",Always,4.0,4.0,3.0,2.0,3.0,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",Hope this will help students ,Tech Meetups
22/23,3.38,3.0,3.0,5.0,4.0,4.0,2.0,Yes,"None, Social Service Activities, Tech Meetups",Sometimes,3.0,1.0,2.0,4.0,5.0,"Outgoing, Team-oriented, Logical thinker","Meeting New People, Learning New Skills",Any day,Night (After 8pm),"Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science, Environmental & Social Impact","Public Speaking, Communication",Effective structure.,Social Engagement
22/23,3.38,2.0,4.0,4.0,2.0,3.0,1.0,Yes,"None, Social Service Activities, Tech Meetups",Sometimes,3.0,1.0,3.0,4.0,5.0,"Outgoing, Team-oriented, Logical thinker","Meeting New People, Learning New Skills",Any day,Night (After 8pm),"Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science, Environmental & Social Impact","Public Speaking, Communication",Great idea.,Social Engagement
22/23,3.6,4.0,3.0,2.0,4.0,3.0,5.0,Yes,"Tech Meetups,Sports",Sometimes,5.0,3.0,1.0,3.0,4.0,"Team-oriented, Outgoing","Relaxation/Stress Relief, Learning New Skills",Weekends,Night (After 8pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Public Speaking / Soft Skill, Web/App Development","Soft Skills, Leadership, AI",Easy to follow.,Tech Meetups
22/23,3.25,5.0,4.0,3.0,4.0,3.0,4.0,No," Academic Workshops,Sports",Often,4.0,2.0,3.0,4.0,3.0,"Creative, Logical thinker, Outgoing","Relaxation/Stress Relief, Learning New Skills, Meeting New People",Weekdays,Morning (8am-12pm),"Web/App Development, Health and Wellbeing, Environmental & Social Impact","Creativity, Soft Skills, Leadership",Add hackathon slots.,Hackathon
21/22,2.99,4.0,4.0,2.0,3.0,3.0,5.0,No,"Career Development, Tech Meetups",Always,5.0,4.0,2.0,3.0,3.0,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",No suggestion,Tech Meetups
21/22,2.73,5.0,4.0,1.0,4.0,1.0,4.0,Yes,"Sports, Tech Meetups",Sometimes,4.0,4.0,2.0,4.0,2.0,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Evening (4pm-8pm),"Health and Wellbeing, Designing / Creativity","Soft Skills, Communication",Add career fairs.,Hackathon
20/21,2.95,5.0,4.0,4.0,4.0,3.0,3.0,Yes,"Tech Meetups, Academic Workshops, Sports",Sometimes,3.0,5.0,3.0,5.0,2.0,"Curious and eager to learn, Logical thinker",Relaxation/Stress Relief,Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Creativity, Leadership",Include volunteering slots.,Hackathon
20/21,3.09,4.0,5.0,2.0,3.0,3.0,4.0,No,"Career Development, Tech Meetups",Always,4.0,4.0,2.0,1.0,4.0,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",Missing coding events.,Career Development
20/21,3.09,4.0,3.0,2.0,4.0,3.0,5.0,No,"Career Development, Tech Meetups",Always,4.0,4.0,3.0,1.0,5.0,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",Could be shorter.,Tech Meetups
22/23,3.89,2.0,3.0,5.0,4.0,3.0,4.0,No,"Tech Meetups, Sports",Sometimes,4.0,3.0,5.0,5.0,4.0,"Outgoing, Team-oriented, Curious and eager to learn","Fun and Entertainment, Relaxation/Stress Relief, Meeting New People",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Business / Entrepreneurship, Designing / Creativity","Leadership, Communication, Creativity, Public Speaking",More workshops needed.,Social Engagement
22/23,2.93,1.0,4.0,2.0,3.0,3.0,4.0,No,Tech Meetups,Rarely,5.0,5.0,2.0,3.0,3.0,"Outgoing, Logical thinker","Career Development, Fun and Entertainment, Relaxation/Stress Relief",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Public Speaking / Soft Skill","Leadership, Creativity, Communication",More open-ended.,Tech Meetups
21/22,3.12,3.0,2.0,1.0,1.0,1.0,2.0,Yes,Social Service Activities,Sometimes,2.0,2.0,4.0,1.0,5.0,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Add design events.,Social Engaging 
20/21,3.16,5.0,2.0,2.0,1.0,1.0,4.0,No,"Tech Meetups, Academic Workshops, Cultural Events",Rarely,5.0,2.0,4.0,4.0,4.0,"Creative, Curious and eager to learn, Team-oriented","Learning New Skills, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Soft Skills, AI, Public Speaking",Add cultural clubs.,Hackathon
22/23,2.94,1.0,5.0,1.0,5.0,5.0,4.0,Yes,Social Service Activities,Often,5.0,5.0,4.0,2.0,3.0,"Creative, Curious and eager to learn",Career Development,Any day,Morning (8am-12pm),"Business / Entrepreneurship, Health and Wellbeing, Artificial Intelligence / Data Science","Soft Skills, Creativity, Communication, Leadership",More social events.,Career Development
22/23,3.64,4.0,3.0,2.0,1.0,4.0,3.0,No,Sports,Often,3.0,3.0,4.0,1.0,2.0,Curious and eager to learn,"Career Development, Fun and Entertainment, Meeting New People",Any day,Night (After 8pm),"Designing / Creativity, Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","Public Speaking, Communication",Add science fairs.,Social Engaging 
21/22,3.65,1.0,2.0,5.0,5.0,1.0,3.0,Yes,Tech Meetups,Never,4.0,3.0,2.0,5.0,4.0,"Logical thinker, Outgoing, Creative","Career Development, Fun and Entertainment",Weekends,Morning (8am-12pm),"Business / Entrepreneurship, Public Speaking / Soft Skill","Public Speaking, Leadership, Communication, Creativity",Add festival celebrations.,Social Engaging 
20/21,3.41,1.0,5.0,1.0,5.0,5.0,4.0,Yes,Social Service Activities,Often,5.0,5.0,4.0,2.0,3.0,"Creative, Curious and eager to learn",Career Development,Any day,Morning (8am-12pm),"Business / Entrepreneurship, Health and Wellbeing, Artificial Intelligence / Data Science","Soft Skills, Creativity, Communication, Leadership",Add mentoring programs.,Career Development
22/23,2.94,3.0,4.0,5.0,4.0,2.0,2.0,No,"Career Development, Sports, Cultural Events",Sometimes,4.0,5.0,4.0,4.0,5.0,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",Include gaming events.,Social Engaging 
22/23,2.49,3.0,3.0,5.0,2.0,2.0,2.0,No,Tech Meetups,Never,3.0,4.0,5.0,4.0,5.0,"Creative, Team-oriented, Curious and eager to learn","Learning New Skills, Career Development, Fun and Entertainment",Any day,Evening (4pm-8pm),"Health and Wellbeing, Artificial Intelligence / Data Science","Creativity, Communication",Include faculty talks.,Social Engaging 
20/21,2.39,5.0,1.0,4.0,5.0,2.0,5.0,No,"Social Service Activities, None",Rarely,5.0,3.0,3.0,4.0,2.0,"Curious and eager to learn, Outgoing, Team-oriented",Career Development,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",Missing entrepreneurship programs.,Hackathon
20/21,2.41,1.0,1.0,2.0,5.0,1.0,3.0,Yes,"Cultural Events, Academic Workshops",Often,3.0,1.0,3.0,2.0,4.0,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",No suggestion,Social Engaging 
21/22,2.8,3.0,4.0,3.0,4.0,2.0,5.0,No,"Career Development, Sports, Cultural Events",Sometimes,5.0,5.0,3.0,4.0,3.0,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",Add debate competitions.,Tech Meetups
21/22,2.54,2.0,3.0,2.0,1.0,4.0,1.0,Yes,"Cultural Events, Career Development",Often,1.0,1.0,3.0,1.0,3.0,"Curious and eager to learn, Logical thinker",Meeting New People,Any day,Night (After 8pm),"Designing / Creativity, Web/App Development, Environmental & Social Impact, Health and Wellbeing","Creativity, Public Speaking",No suggestion,Career Development
20/21,2.85,5.0,2.0,3.0,4.0,2.0,4.0,Yes,"Academic Workshops, Sports, Cultural Events",Sometimes,5.0,3.0,2.0,1.0,1.0,Outgoing,"Meeting New People, Fun and Entertainment",Weekdays,Afternoon (12pm-4pm),"Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","AI, Communication, Public Speaking, Soft Skills",Too basic.,Tech Meetups
21/22,3.55,5.0,5.0,5.0,1.0,3.0,5.0,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,5.0,2.0,4.0,1.0,4.0,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",More interactive events.,Tech Meetups
21/22,3.43,4.0,5.0,3.0,3.0,4.0,4.0,No,"Academic Workshops, Career Development, None",Always,3.0,1.0,2.0,4.0,5.0,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief",Weekends,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Public Speaking",Questions feel incomplete.,Social Engaging 
22/23,3.97,2.0,3.0,2.0,1.0,4.0,1.0,Yes,"Cultural Events, Career Development",Often,1.0,1.0,3.0,1.0,3.0,"Curious and eager to learn, Logical thinker",Meeting New People,Any day,Night (After 8pm),,"Creativity, Public Speaking",Not enough options.,Social Engaging 
20/21,2.13,1.0,2.0,5.0,5.0,1.0,3.0,Yes,Tech Meetups,Never,4.0,3.0,2.0,5.0,4.0,"Logical thinker, Outgoing, Creative","Career Development, Fun and Entertainment",Weekends,Morning (8am-12pm),"Business / Entrepreneurship, Public Speaking / Soft Skill","Public Speaking, Leadership, Communication, Creativity",GPA not needed.,Social Engaging 
21/22,3.91,1.0,4.0,2.0,3.0,3.0,4.0,No,Tech Meetups,Rarely,5.0,5.0,2.0,3.0,5.0,"Outgoing, Logical thinker","Career Development, Fun and Entertainment, Relaxation/Stress Relief",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Public Speaking / Soft Skill","Leadership, Creativity, Communication",Repetitive questions.,Career Development
21/22,3.87,3.0,2.0,1.0,1.0,1.0,2.0,Yes,Social Service Activities,Sometimes,2.0,2.0,4.0,1.0,5.0,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Too plain.,Social Engaging 
20/21,3.8,1.0,1.0,2.0,5.0,1.0,3.0,Yes,"Cultural Events, Academic Workshops",Often,3.0,1.0,3.0,2.0,2.0,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",Lacks detail.,Social Engaging 
20/21,3.41,5.0,3.0,2.0,4.0,2.0,4.0,No,Sports,Often,3.0,3.0,4.0,1.0,2.0,Curious and eager to learn,"Career Development, Fun and Entertainment, Meeting New People",Any day,Night (After 8pm),"Designing / Creativity, Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","Designing / Creativity, Web/App Development, Environmental & Social Impact, Health and Wellbeing",No suggestion,Hackathon
20/21,2.37,2.0,4.0,4.0,2.0,1.0,1.0,Yes,"None, Social Service Activities, Tech Meetups",Sometimes,5.0,1.0,2.0,4.0,5.0,"Outgoing, Team-oriented, Logical thinker","Meeting New People, Learning New Skills",Any day,Night (After 8pm),"Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science, Environmental & Social Impact","Public Speaking, Communication",More advanced topics needed.,Career Development
20/21,3.74,4.0,1.0,4.0,4.0,3.0,5.0,Yes,"Tech Meetups, Academic Workshops, Sports",Sometimes,5.0,5.0,3.0,4.0,2.0,"Curious and eager to learn, Logical thinker",Relaxation/Stress Relief,Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Creativity, Leadership",Very limited.,Tech Meetups
20/21,3.62,3.0,3.0,5.0,2.0,2.0,2.0,No,Tech Meetups,Never,3.0,4.0,5.0,4.0,5.0,"Creative, Team-oriented, Curious and eager to learn","Learning New Skills, Career Development, Fun and Entertainment",Any day,Evening (4pm-8pm),"Health and Wellbeing, Artificial Intelligence / Data Science","Creativity, Communication",Add career fairs.,Social Engaging 
20/21,2.04,5.0,4.0,4.0,5.0,2.0,4.0,No,"Academic Workshops, Sports, ",Often,4.0,1.0,5.0,3.0,5.0,"Creative, Logical thinker, Outgoing","Relaxation/Stress Relief, Learning New Skills, Meeting New People",Weekdays,Morning (8am-12pm),"Web/App Development, Health and Wellbeing, Environmental & Social Impact","Creativity, Soft Skills, Leadership",More workshops needed.,Tech Meetups
22/23,2.39,3.0,1.0,4.0,2.0,2.0,3.0,No,"Social Service Activities, None",Rarely,3.0,2.0,3.0,1.0,4.0,"Curious and eager to learn, Outgoing, Team-oriented",Career Development,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",More social events.,Social Engaging 
21/22,2.07,1.0,2.0,4.0,4.0,1.0,4.0,Yes,"Cultural Events, Career Development, Sports",Sometimes,3.0,1.0,3.0,3.0,1.0,"Creative, Outgoing","Fun and Entertainment, Meeting New People",Weekends,Morning (8am-12pm),"Artificial Intelligence / Data Science, Environmental & Social Impact, Web/App Development, Public Speaking / Soft Skill","Soft Skills, Creativity",Add design events.,Social Engaging 
22/23,3.97,4.0,2.0,2.0,4.0,5.0,5.0,No,"Career Development, Tech Meetups",Always,4.0,4.0,2.0,1.0,5.0,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",Not meaningful.,Tech Meetups
22/23,2.54,5.0,1.0,5.0,5.0,2.0,3.0,No,"None, Career Development, Cultural Events",Sometimes,1.0,2.0,3.0,2.0,2.0,"Creative, Outgoing, Logical thinker","Career Development, Relaxation/Stress Relief, Fun and Entertainment",Any day,Night (After 8pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Leadership, Soft Skills, Public Speaking, AI",Easy to understand.,Hackathon
21/22,3.32,2.0,4.0,4.0,2.0,1.0,1.0,Yes,"None, Social Service Activities, Tech Meetups",Sometimes,5.0,1.0,2.0,4.0,5.0,"Outgoing, Team-oriented, Logical thinker","Meeting New People, Learning New Skills",Any day,Night (After 8pm),"Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science, Environmental & Social Impact","Public Speaking, Communication",No suggestion,Tech Meetups
20/21,2.73,3.0,4.0,5.0,4.0,2.0,2.0,No,"Career Development, Sports, Cultural Events",Sometimes,4.0,5.0,4.0,4.0,3.0,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",Doesn’t reflect reality.,Social Engaging 
22/23,3.15,3.0,3.0,5.0,2.0,2.0,5.0,No,Tech Meetups,Never,5.0,4.0,2.0,4.0,5.0,"Creative, Team-oriented, Curious and eager to learn","Learning New Skills, Career Development, Fun and Entertainment",Any day,Evening (4pm-8pm),"Health and Wellbeing, Artificial Intelligence / Data Science","Creativity, Communication",No suggestion,Tech Meetups
22/23,3.13,3.0,1.0,5.0,3.0,1.0,2.0,Yes,"Tech Meetups, Academic Workshops",Sometimes,3.0,1.0,1.0,2.0,5.0,"Curious and eager to learn, Logical thinker","Learning New Skills, Relaxation/Stress Relief, Fun and Entertainment",Weekdays,Night (After 8pm),"Health and Wellbeing, Environmental & Social Impact","Public Speaking, Soft Skills",Looking forward,Social Engaging 
22/23,3.17,1.0,4.0,2.0,4.0,3.0,5.0,No,Tech Meetups,Rarely,5.0,5.0,2.0,3.0,5.0,"Outgoing, Logical thinker","Career Development, Fun and Entertainment, Relaxation/Stress Relief",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Public Speaking / Soft Skill","Leadership, Creativity, Communication",Simple examples helped.,Tech Meetups
21/22,2.02,5.0,5.0,5.0,5.0,3.0,3.0,Yes,"Cultural Events, None",Sometimes,3.0,2.0,1.0,4.0,1.0,"Logical thinker, Creative, Curious and eager to learn",Relaxation/Stress Relief,Weekends,Evening (4pm-8pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Designing / Creativity, Public Speaking / Soft Skill","Public Speaking, Creativity, Leadership, Soft Skills",No suggestion,Hackathon
21/22,3.9,1.0,5.0,1.0,5.0,5.0,4.0,Yes,Career Development,Often,5.0,5.0,4.0,2.0,3.0,"Creative, Curious and eager to learn",Career Development,Any day,Morning (8am-12pm),"Business / Entrepreneurship, Health and Wellbeing, Artificial Intelligence / Data Science","Soft Skills, Creativity, Communication, Leadership",Survey feels long.,Career Development
22/23,3.44,4.0,3.0,4.0,4.0,1.0,4.0,Yes,"Cultural Events, Career Development, Sports",Sometimes,5.0,4.0,3.0,3.0,1.0,"Creative, Outgoing","Fun and Entertainment, Meeting New People",Weekends,Morning (8am-12pm),"Artificial Intelligence / Data Science, Environmental & Social Impact, Web/App Development, Public Speaking / Soft Skill","Soft Skills, Creativity",Too structured.,Tech Meetups
20/21,2.11,2.0,4.0,3.0,5.0,1.0,3.0,Yes,"Cultural Events, Academic Workshops,Sports",Often,3.0,1.0,3.0,4.0,2.0,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",Too few time slots.,Social Engaging 
22/23,3.31,4.0,2.0,2.0,4.0,5.0,5.0,No,"Career Development, Tech Meetups",Always,4.0,4.0,2.0,1.0,5.0,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",GPA feels irrelevant.,Tech Meetups
22/23,3.97,3.0,4.0,5.0,4.0,5.0,3.0,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,3.0,2.0,5.0,1.0,4.0,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",Balanced and clear.,Social Engaging 
22/23,3.35,2.0,3.0,4.0,1.0,4.0,1.0,Yes,"Cultural Events, Career Development",Often,1.0,1.0,3.0,1.0,3.0,"Curious and eager to learn, Logical thinker",Meeting New People,Any day,Night (After 8pm),"Designing / Creativity, Web/App Development, Environmental & Social Impact, Health and Wellbeing","Creativity, Public Speaking",Too limited scope.,Social Engaging 
21/22,2.5,4.0,5.0,2.0,1.0,4.0,3.0,No,"Career Development,Sports",Often,4.0,4.0,4.0,1.0,2.0,Curious and eager to learn,"Career Development, Fun and Entertainment, Meeting New People",Any day,Night (After 8pm),"Designing / Creativity, Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","Public Speaking, Communication",Feels unnecessary.,Career Development
20/21,3.1,5.0,5.0,5.0,1.0,3.0,3.0,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,5.0,2.0,4.0,1.0,4.0,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",Hard to relate.,Social Engaging 
20/21,3.9,2.0,5.0,2.0,1.0,3.0,3.0,Yes,"Career Development, None",Always,5.0,4.0,3.0,3.0,3.0,Creative,"Career Development, Relaxation/Stress Relief, Fun and Entertainment",Weekends,Afternoon (12pm-4pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Communication, Creativity",No suggestion,Career Development
20/21,2.83,3.0,3.0,5.0,5.0,5.0,2.0,Yes,"Cultural Events, None",Sometimes,2.0,2.0,1.0,4.0,1.0,"Logical thinker, Creative, Curious and eager to learn",Relaxation/Stress Relief,Weekends,Evening (4pm-8pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Designing / Creativity, Public Speaking / Soft Skill","Public Speaking, Creativity, Leadership, Soft Skills",Best wishes to your AI,Social Engaging 
