Date and Time,AcademicYear,Department,GPA,Interest_AcademicWorkshop,Interest_CareerDev,Interest_SocialActivities,Interest_Sports,Interest_CulturalPrograms,Interest_TechMeetups,ParticipatedBefore,EventTypesAttended,EventAttendanceFrequency,Hypo_TechWorkshop,Hypo_ResumeWorkshop,Hypo_CulturalNight,Hypo_SportsTournament,Hypo_SocialCampaign,Personality,Motivation,FreeDays,PreferredTime,InterestTopics,SkillsToDevelop,Feedback,Recommended Event
7/17/2025 13:00,20/21,Department of Computing,2.62,5,5,3,2,2,3,No,"Social Service Activities, None",Rarely,3,2,3,1,4,"Curious and eager to learn, Outgoing, Team-oriented",Career Development,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",Simple layout.,Career Development
7/17/2025 14:02,20/21,Department of Computing,3.93,2,3,4,2,4,1,Yes,"None, Social Service Activities, Tech Meetups",Sometimes,3,1,2,4,5,"Outgoing, Team-oriented, Logical thinker","Meeting New People, Learning New Skills",Any day,Night (After 8pm),"Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science, Environmental & Social Impact","Public Speaking, Communication",,Social Engaging
7/17/2025 14:29,20/21,Department of Computing,2.3,5,5,5,5,3,2,Yes,"Cultural Events, None",Sometimes,4,5,1,4,1,"Logical thinker, Creative, Curious and eager to learn",Relaxation/Stress Relief,Weekends,Evening (4pm-8pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Designing / Creativity, Public Speaking / Soft Skill","Public Speaking, Creativity, Leadership, Soft Skills",,Career Development
7/17/2025 15:29,20/21,Department of Computing,2.3,2,5,3,3,3,3,Yes,"Cultural Events, None",Sometimes,4,4,1,3,1,"Logical thinker, Creative, Curious and eager to learn",Relaxation/Stress Relief,Weekends,Evening (4pm-8pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Designing / Creativity, Public Speaking / Soft Skill","Public Speaking, Creativity, Leadership, Soft Skills",Could include volunteering.,Career Development
7/17/2025 16:30,21/22,Department of Computing,3.84,1,2,5,5,3,3,Yes,Tech Meetups,Never,3,3,4,5,4,"Logical thinker, Outgoing, Creative","Career Development, Fun and Entertainment",Weekends,Morning (8am-12pm),"Business / Entrepreneurship, Public Speaking / Soft Skill","Public Speaking, Leadership, Communication, Creativity",Compact form.,Social Engaging
7/17/2025 17:07,21/22,Department of Computing,2.1,5,2,4,4,1,5,Yes,"Tech Meetups, Academic Workshops",Sometimes,4,2,1,4,3,"Curious and eager to learn, Logical thinker","Learning New Skills, Relaxation/Stress Relief, Fun and Entertainment",Weekdays,Night (After 8pm),"Health and Wellbeing, Environmental & Social Impact","Public Speaking, Soft Skills",More career options.,Hackathon
7/17/2025 19:52,21/22,Department of Computing,2.1,4,3,2,3,1,5,Yes,"Tech Meetups, Academic Workshops",Sometimes,5,1,1,2,2,"Curious and eager to learn, Logical thinker","Learning New Skills, Relaxation/Stress Relief, Fun and Entertainment",Weekdays,Night (After 8pm),"Health and Wellbeing, Environmental & Social Impact","Public Speaking, Soft Skills",Covers key points.,Tech Workshop
7/17/2025 20:52,22/23,Department of Computing,2.22,3,3,5,4,4,2,Yes,None,Sometimes,2,3,4,4,5,"Outgoing, Curious and eager to learn","Meeting New People, Learning New Skills",Weekends,Night (After 8pm),"Business / Entrepreneurship, Public Speaking / Soft Skill, Designing / Creativity","Communication, Soft Skills, AI",,Social Engaging
7/17/2025 21:06,21/22,Department of Computing,2.79,5,5,3,3,3,5,Yes,"Career Development, None, Sports",Rarely,5,5,3,3,3,Creative,"Relaxation/Stress Relief, Meeting New People",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Business / Entrepreneurship, Web/App Development","Communication, Leadership, Public Speaking, Creativity",Nothing unnecessary.,Career Development
7/17/2025 22:09,21/22,Department of Computing,3.8,5,3,3,3,3,5,No,"None, Academic Workshops, Social Service Activities",Always,5,4,2,3,3,"Logical thinker, Team-oriented, Outgoing",Fun and Entertainment,Any day,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Designing / Creativity, Environmental & Social Impact","AI, Creativity",Add group projects,Tech Workshop
7/17/2025 23:02,22/23,Department of Computing,2.23,3,4,5,4,4,3,Yes,"Career Development, Sports, Cultural Events",Sometimes,3,4,4,4,5,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",Add mental health activities.,Social Engaging
7/17/2025 23:27,20/21,Department of Computing,3.31,5,4,2,4,2,4,Yes,"Academic Workshops,Tech Meetups,Sports",Sometimes,4,3,2,1,3,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Need open suggestions box.,Hackathon
7/17/2025 23:49,20/21,Department of Computing,2.35,3,2,5,3,4,3,Yes,"Social Service Activities, None",Rarely,3,2,4,1,5,"Curious and eager to learn, Outgoing, Team-oriented",Fun Entertainment,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",Properly arranged.,Social Engaging
7/18/2025 10:16,20/21,Department of Computing,2.35,4,3,3,3,2,5,Yes,Tech Meetups,Rarely,5,4,3,1,3,"Curious and eager to learn, Outgoing, Team-oriented",Meeting New People,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",Logical questions.,Tech Meetups
7/18/2025 12:17,22/23,Department of Computing,3.48,4,5,3,4,3,4,Yes,"Career Development, Tech Meetups",Always,4,4,3,2,3,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",Hope this will help students ,Tech Meetups
7/18/2025 13:57,22/23,Department of Computing,3.38,3,3,5,4,4,2,Yes,"None, Social Service Activities, Tech Meetups",Sometimes,3,1,2,4,5,"Outgoing, Team-oriented, Logical thinker","Meeting New People, Learning New Skills",Any day,Night (After 8pm),"Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science, Environmental & Social Impact","Public Speaking, Communication",Effective structure.,Social Engagement
7/18/2025 15:01,22/23,Department of Computing,3.38,2,4,4,2,3,1,Yes,"None, Social Service Activities, Tech Meetups",Sometimes,3,1,3,4,5,"Outgoing, Team-oriented, Logical thinker","Meeting New People, Learning New Skills",Any day,Night (After 8pm),"Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science, Environmental & Social Impact","Public Speaking, Communication",Great idea.,Social Engagement
7/18/2025 16:04,22/23,Department of Computing,3.6,4,3,2,4,3,5,Yes,"Tech Meetups,Sports",Sometimes,5,3,1,3,4,"Team-oriented, Outgoing","Relaxation/Stress Relief, Learning New Skills",Weekends,Night (After 8pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Public Speaking / Soft Skill, Web/App Development","Soft Skills, Leadership, AI",Easy to follow.,Tech Meetups
7/18/2025 16:11,22/23,Department of Computing,3.25,5,4,3,4,3,4,No," Academic Workshops,Sports",Often,4,2,3,4,3,"Creative, Logical thinker, Outgoing","Relaxation/Stress Relief, Learning New Skills, Meeting New People",Weekdays,Morning (8am-12pm),"Web/App Development, Health and Wellbeing, Environmental & Social Impact","Creativity, Soft Skills, Leadership",Add hackathon slots.,Hackathon
7/18/2025 16:41,21/22,Department of Computing,2.99,4,4,2,3,3,5,No,"Career Development, Tech Meetups",Always,5,4,2,3,3,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",,Tech Meetups
7/18/2025 17:53,21/22,Department of Computing,2.73,5,4,1,4,1,4,Yes,"Sports, Tech Meetups",Sometimes,4,4,2,4,2,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Evening (4pm-8pm),"Health and Wellbeing, Designing / Creativity","Soft Skills, Communication",Add career fairs.,Hackathon
7/18/2025 17:55,20/21,Department of Computing,2.95,5,4,4,4,3,3,Yes,"Tech Meetups, Academic Workshops, Sports",Sometimes,3,5,3,5,2,"Curious and eager to learn, Logical thinker",Relaxation/Stress Relief,Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Creativity, Leadership",Include volunteering slots.,Hackathon
7/18/2025 18:55,20/21,Department of Computing,3.09,4,5,2,3,3,4,No,"Career Development, Tech Meetups",Always,4,4,2,1,4,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",Missing coding events.,Career Development
7/18/2025 18:56,20/21,Department of Computing,3.09,4,3,2,4,3,5,No,"Career Development, Tech Meetups",Always,4,4,3,1,5,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",Could be shorter.,Tech Meetups
7/18/2025 19:26,22/23,Department of Computing,3.89,2,3,5,4,3,4,No,"Tech Meetups, Sports",Sometimes,4,3,5,5,4,"Outgoing, Team-oriented, Curious and eager to learn","Fun and Entertainment, Relaxation/Stress Relief, Meeting New People",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Business / Entrepreneurship, Designing / Creativity","Leadership, Communication, Creativity, Public Speaking",More workshops needed.,Social Engagement
7/18/2025 19:33,22/23,Department of Computing,2.93,1,4,2,3,3,4,No,Tech Meetups,Rarely,5,5,2,3,3,"Outgoing, Logical thinker","Career Development, Fun and Entertainment, Relaxation/Stress Relief",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Public Speaking / Soft Skill","Leadership, Creativity, Communication",More open-ended.,Tech Meetups
7/18/2025 19:34,21/22,Department of Computing,3.12,3,2,1,1,1,2,Yes,Social Service Activities,Sometimes,2,2,4,1,5,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Add design events.,Social Engaging 
7/18/2025 20:06,20/21,Department of Computing,3.16,5,2,2,1,1,4,No,"Tech Meetups, Academic Workshops, Cultural Events",Rarely,5,2,4,4,4,"Creative, Curious and eager to learn, Team-oriented","Learning New Skills, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Soft Skills, AI, Public Speaking",Add cultural clubs.,Hackathon
7/18/2025 20:46,22/23,Department of Computing,2.94,1,5,1,5,5,4,Yes,Social Service Activities,Often,5,5,4,2,3,"Creative, Curious and eager to learn",Career Development,Any day,Morning (8am-12pm),"Business / Entrepreneurship, Health and Wellbeing, Artificial Intelligence / Data Science","Soft Skills, Creativity, Communication, Leadership",More social events.,Career Development
7/18/2025 20:56,22/23,Department of Computing,3.64,4,3,2,1,4,3,No,Sports,Often,3,3,4,1,2,Curious and eager to learn,"Career Development, Fun and Entertainment, Meeting New People",Any day,Night (After 8pm),"Designing / Creativity, Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","Public Speaking, Communication",Add science fairs.,Social Engaging 
7/18/2025 22:02,21/22,Department of Computing,3.65,1,2,5,5,1,3,Yes,Tech Meetups,Never,4,3,2,5,4,"Logical thinker, Outgoing, Creative","Career Development, Fun and Entertainment",Weekends,Morning (8am-12pm),"Business / Entrepreneurship, Public Speaking / Soft Skill","Public Speaking, Leadership, Communication, Creativity",Add festival celebrations.,Social Engaging 
7/18/2025 22:02,20/21,Department of Computing,3.41,1,5,1,5,5,4,Yes,Social Service Activities,Often,5,5,4,2,3,"Creative, Curious and eager to learn",Career Development,Any day,Morning (8am-12pm),"Business / Entrepreneurship, Health and Wellbeing, Artificial Intelligence / Data Science","Soft Skills, Creativity, Communication, Leadership",Add mentoring programs.,Career Development
7/18/2025 22:10,22/23,Department of Computing,2.94,3,4,5,4,2,2,No,"Career Development, Sports, Cultural Events",Sometimes,4,5,4,4,5,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",Include gaming events.,Social Engaging 
7/18/2025 23:06,22/23,Department of Computing,2.49,3,3,5,2,2,2,No,Tech Meetups,Never,3,4,5,4,5,"Creative, Team-oriented, Curious and eager to learn","Learning New Skills, Career Development, Fun and Entertainment",Any day,Evening (4pm-8pm),"Health and Wellbeing, Artificial Intelligence / Data Science","Creativity, Communication",Include faculty talks.,Social Engaging 
7/18/2025 23:32,20/21,Department of Computing,2.39,5,1,4,5,2,5,No,"Social Service Activities, None",Rarely,5,3,3,4,2,"Curious and eager to learn, Outgoing, Team-oriented",Career Development,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",Missing entrepreneurship programs.,Hackathon
7/18/2025 23:43,20/21,Department of Computing,2.41,1,1,2,5,1,3,Yes,"Cultural Events, Academic Workshops",Often,3,1,3,2,4,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",,Social Engaging 
7/19/2025 9:12,21/22,Department of Computing,2.8,3,4,3,4,2,5,No,"Career Development, Sports, Cultural Events",Sometimes,5,5,3,4,3,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",Add debate competitions.,Tech Meetups
7/19/2025 12:48,21/22,Department of Computing,2.54,2,3,2,1,4,1,Yes,"Cultural Events, Career Development",Often,1,1,3,1,3,"Curious and eager to learn, Logical thinker",Meeting New People,Any day,Night (After 8pm),"Designing / Creativity, Web/App Development, Environmental & Social Impact, Health and Wellbeing","Creativity, Public Speaking",,Career Development
7/19/2025 13:01,20/21,Department of Computing,2.85,5,2,3,4,2,4,Yes,"Academic Workshops, Sports, Cultural Events",Sometimes,5,3,2,1,1,Outgoing,"Meeting New People, Fun and Entertainment",Weekdays,Afternoon (12pm-4pm),"Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","AI, Communication, Public Speaking, Soft Skills",Too basic.,Tech Meetups
7/19/2025 13:15,21/22,Department of Computing,3.55,5,5,5,1,3,5,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,5,2,4,1,4,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",More interactive events.,Tech Meetups
7/19/2025 13:47,21/22,Department of Computing,3.43,4,5,3,3,4,4,No,"Academic Workshops, Career Development, None",Always,3,1,2,4,5,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief",Weekends,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Public Speaking",Questions feel incomplete.,Social Engaging 
7/19/2025 14:22,22/23,Department of Computing,3.97,2,3,2,1,4,1,Yes,"Cultural Events, Career Development",Often,1,1,3,1,3,"Curious and eager to learn, Logical thinker",Meeting New People,Any day,Night (After 8pm),,"Creativity, Public Speaking",Not enough options.,Social Engaging 
7/19/2025 15:02,20/21,Department of Computing,2.13,1,2,5,5,1,3,Yes,Tech Meetups,Never,4,3,2,5,4,"Logical thinker, Outgoing, Creative","Career Development, Fun and Entertainment",Weekends,Morning (8am-12pm),"Business / Entrepreneurship, Public Speaking / Soft Skill","Public Speaking, Leadership, Communication, Creativity",GPA not needed.,Social Engaging 
7/19/2025 15:20,21/22,Department of Computing,3.91,1,4,2,3,3,4,No,Tech Meetups,Rarely,5,5,2,3,5,"Outgoing, Logical thinker","Career Development, Fun and Entertainment, Relaxation/Stress Relief",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Public Speaking / Soft Skill","Leadership, Creativity, Communication",Repetitive questions.,Career Development
7/19/2025 16:21,21/22,Department of Computing,3.87,3,2,1,1,1,2,Yes,Social Service Activities,Sometimes,2,2,4,1,5,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Too plain.,Social Engaging 
7/19/2025 16:51,20/21,Department of Computing,3.8,1,1,2,5,1,3,Yes,"Cultural Events, Academic Workshops",Often,3,1,3,2,2,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",Lacks detail.,Social Engaging 
7/19/2025 18:02,20/21,Department of Computing,3.41,5,3,2,4,2,4,No,Sports,Often,3,3,4,1,2,Curious and eager to learn,"Career Development, Fun and Entertainment, Meeting New People",Any day,Night (After 8pm),"Designing / Creativity, Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","Designing / Creativity, Web/App Development, Environmental & Social Impact, Health and Wellbeing",,Hackathon
7/19/2025 19:03,20/21,Department of Computing,2.37,2,4,4,2,1,1,Yes,"None, Social Service Activities, Tech Meetups",Sometimes,5,1,2,4,5,"Outgoing, Team-oriented, Logical thinker","Meeting New People, Learning New Skills",Any day,Night (After 8pm),"Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science, Environmental & Social Impact","Public Speaking, Communication",More advanced topics needed.,Career Development
7/19/2025 20:05,20/21,Department of Computing,3.74,4,1,4,4,3,5,Yes,"Tech Meetups, Academic Workshops, Sports",Sometimes,5,5,3,4,2,"Curious and eager to learn, Logical thinker",Relaxation/Stress Relief,Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Creativity, Leadership",Very limited.,Tech Meetups
7/19/2025 21:09,20/21,Department of Computing,3.62,3,3,5,2,2,2,No,Tech Meetups,Never,3,4,5,4,5,"Creative, Team-oriented, Curious and eager to learn","Learning New Skills, Career Development, Fun and Entertainment",Any day,Evening (4pm-8pm),"Health and Wellbeing, Artificial Intelligence / Data Science","Creativity, Communication",Add career fairs.,Social Engaging 
7/19/2025 21:14,20/21,Department of Computing,2.04,5,4,4,5,2,4,No,"Academic Workshops, Sports, ",Often,4,1,5,3,5,"Creative, Logical thinker, Outgoing","Relaxation/Stress Relief, Learning New Skills, Meeting New People",Weekdays,Morning (8am-12pm),"Web/App Development, Health and Wellbeing, Environmental & Social Impact","Creativity, Soft Skills, Leadership",More workshops needed.,Tech Meetups
7/19/2025 21:32,22/23,Department of Computing,2.39,3,1,4,2,2,3,No,"Social Service Activities, None",Rarely,3,2,3,1,4,"Curious and eager to learn, Outgoing, Team-oriented",Career Development,Weekends,Evening (4pm-8pm),"Health and Wellbeing, Business / Entrepreneurship","Communication, Soft Skills",More social events.,Social Engaging 
7/19/2025 21:47,21/22,Department of Computing,2.07,1,2,4,4,1,4,Yes,"Cultural Events, Career Development, Sports",Sometimes,3,1,3,3,1,"Creative, Outgoing","Fun and Entertainment, Meeting New People",Weekends,Morning (8am-12pm),"Artificial Intelligence / Data Science, Environmental & Social Impact, Web/App Development, Public Speaking / Soft Skill","Soft Skills, Creativity",Add design events.,Social Engaging 
7/19/2025 22:09,22/23,Department of Computing,3.97,4,2,2,4,5,5,No,"Career Development, Tech Meetups",Always,4,4,2,1,5,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",Not meaningful.,Tech Meetups
7/19/2025 22:12,22/23,Department of Computing,2.54,5,1,5,5,2,3,No,"None, Career Development, Cultural Events",Sometimes,1,2,3,2,2,"Creative, Outgoing, Logical thinker","Career Development, Relaxation/Stress Relief, Fun and Entertainment",Any day,Night (After 8pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Leadership, Soft Skills, Public Speaking, AI",Easy to understand.,Hackathon
7/19/2025 22:41,21/22,Department of Computing,3.32,2,4,4,2,1,1,Yes,"None, Social Service Activities, Tech Meetups",Sometimes,5,1,2,4,5,"Outgoing, Team-oriented, Logical thinker","Meeting New People, Learning New Skills",Any day,Night (After 8pm),"Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science, Environmental & Social Impact","Public Speaking, Communication",,Tech Meetups
7/19/2025 22:45,20/21,Department of Computing,2.73,3,4,5,4,2,2,No,"Career Development, Sports, Cultural Events",Sometimes,4,5,4,4,3,"Outgoing, Team-oriented","Relaxation/Stress Relief, Career Development",Weekdays,Afternoon (12pm-4pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Designing / Creativity, Environmental & Social Impact","Creativity, Public Speaking, Leadership",Doesn’t reflect reality.,Social Engaging 
7/19/2025 23:27,22/23,Department of Computing,3.15,3,3,5,2,2,5,No,Tech Meetups,Never,5,4,2,4,5,"Creative, Team-oriented, Curious and eager to learn","Learning New Skills, Career Development, Fun and Entertainment",Any day,Evening (4pm-8pm),"Health and Wellbeing, Artificial Intelligence / Data Science","Creativity, Communication",,Tech Meetups
7/19/2025 23:44,22/23,Department of Computing,3.13,3,1,5,3,1,2,Yes,"Tech Meetups, Academic Workshops",Sometimes,3,1,1,2,5,"Curious and eager to learn, Logical thinker","Learning New Skills, Relaxation/Stress Relief, Fun and Entertainment",Weekdays,Night (After 8pm),"Health and Wellbeing, Environmental & Social Impact","Public Speaking, Soft Skills",Looking forward,Social Engaging 
7/20/2025 0:01,22/23,Department of Computing,3.17,1,4,2,4,3,5,No,Tech Meetups,Rarely,5,5,2,3,5,"Outgoing, Logical thinker","Career Development, Fun and Entertainment, Relaxation/Stress Relief",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Public Speaking / Soft Skill","Leadership, Creativity, Communication",Simple examples helped.,Tech Meetups
7/20/2025 0:06,21/22,Department of Computing,2.02,5,5,5,5,3,3,Yes,"Cultural Events, None",Sometimes,3,2,1,4,1,"Logical thinker, Creative, Curious and eager to learn",Relaxation/Stress Relief,Weekends,Evening (4pm-8pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Designing / Creativity, Public Speaking / Soft Skill","Public Speaking, Creativity, Leadership, Soft Skills",,Hackathon
7/20/2025 9:36,21/22,Department of Computing,3.9,1,5,1,5,5,4,Yes,Career Development,Often,5,5,4,2,3,"Creative, Curious and eager to learn",Career Development,Any day,Morning (8am-12pm),"Business / Entrepreneurship, Health and Wellbeing, Artificial Intelligence / Data Science","Soft Skills, Creativity, Communication, Leadership",Survey feels long.,Career Development
7/20/2025 9:57,22/23,Department of Computing,3.44,4,3,4,4,1,4,Yes,"Cultural Events, Career Development, Sports",Sometimes,5,4,3,3,1,"Creative, Outgoing","Fun and Entertainment, Meeting New People",Weekends,Morning (8am-12pm),"Artificial Intelligence / Data Science, Environmental & Social Impact, Web/App Development, Public Speaking / Soft Skill","Soft Skills, Creativity",Too structured.,Tech Meetups
7/20/2025 10:00,20/21,Department of Computing,2.11,2,4,3,5,1,3,Yes,"Cultural Events, Academic Workshops,Sports",Often,3,1,3,4,2,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",Too few time slots.,Social Engaging 
7/20/2025 10:40,22/23,Department of Computing,3.31,4,2,2,4,5,5,No,"Career Development, Tech Meetups",Always,4,4,2,1,5,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",GPA feels irrelevant.,Tech Meetups
7/20/2025 10:41,22/23,Department of Computing,3.97,3,4,5,4,5,3,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,3,2,5,1,4,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",Balanced and clear.,Social Engaging 
7/20/2025 11:28,22/23,Department of Computing,3.35,2,3,4,1,4,1,Yes,"Cultural Events, Career Development",Often,1,1,3,1,3,"Curious and eager to learn, Logical thinker",Meeting New People,Any day,Night (After 8pm),"Designing / Creativity, Web/App Development, Environmental & Social Impact, Health and Wellbeing","Creativity, Public Speaking",Too limited scope.,Social Engaging 
7/20/2025 12:18,21/22,Department of Computing,2.5,4,5,2,1,4,3,No,"Career Development,Sports",Often,4,4,4,1,2,Curious and eager to learn,"Career Development, Fun and Entertainment, Meeting New People",Any day,Night (After 8pm),"Designing / Creativity, Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","Public Speaking, Communication",Feels unnecessary.,Career Development
7/20/2025 13:07,20/21,Department of Computing,3.1,5,5,5,1,3,3,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,5,2,4,1,4,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",Hard to relate.,Social Engaging 
7/20/2025 13:18,20/21,Department of Computing,3.9,2,5,2,1,3,3,Yes,"Career Development, None",Always,5,4,3,3,3,Creative,"Career Development, Relaxation/Stress Relief, Fun and Entertainment",Weekends,Afternoon (12pm-4pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Communication, Creativity",,Career Development
7/20/2025 14:12,20/21,Department of Computing,2.83,3,3,5,5,5,2,Yes,"Cultural Events, None",Sometimes,2,2,1,4,1,"Logical thinker, Creative, Curious and eager to learn",Relaxation/Stress Relief,Weekends,Evening (4pm-8pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Designing / Creativity, Public Speaking / Soft Skill","Public Speaking, Creativity, Leadership, Soft Skills",Best wishes to your AI,Social Engaging 
7/20/2025 14:17,20/21,Department of Computing,2.69,5,5,5,1,3,5,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,5,2,4,1,4,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",Plain format.,Tech Meetups
7/20/2025 14:23,20/21,Department of Computing,2.4,2,4,5,5,4,2,Yes,"Sports, ",Sometimes,2,1,5,4,2,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Evening (4pm-8pm),"Health and Wellbeing, Designing / Creativity","Soft Skills, Communication",Boring to answer.,Social Engaging 
7/20/2025 14:49,20/21,Department of Computing,3.86,4,5,3,5,4,4,No,"Academic Workshops, Career Development, None",Always,4,4,3,4,2,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief",Weekends,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Public Speaking",Easy to understand.,Hackathon
